"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2010","Number","Estimated Population",3304
"Andover","0901301080","2011","Number","Estimated Population",3298
"Andover","0901301080","2012","Number","Estimated Population",3281
"Andover","0901301080","2013","Number","Estimated Population",3277
"Andover","0901301080","2014","Number","Estimated Population",3272
"Andover","0901301080","2015","Number","Estimated Population",3266
"Andover","0901301080","2016","Number","Estimated Population",3249
"Andover","0901301080","2017","Number","Estimated Population",3242
"Andover","0901301080","2018","Number","Estimated Population",3231
"Ansonia","0900901220","2010","Number","Estimated Population",19253
"Ansonia","0900901220","2011","Number","Estimated Population",19211
"Ansonia","0900901220","2012","Number","Estimated Population",19208
"Ansonia","0900901220","2013","Number","Estimated Population",19066
"Ansonia","0900901220","2014","Number","Estimated Population",19030
"Ansonia","0900901220","2015","Number","Estimated Population",18921
"Ansonia","0900901220","2016","Number","Estimated Population",18807
"Ansonia","0900901220","2017","Number","Estimated Population",18750
"Ansonia","0900901220","2018","Number","Estimated Population",18721
"Ashford","0901501430","2010","Number","Estimated Population",4304
"Ashford","0901501430","2011","Number","Estimated Population",4290
"Ashford","0901501430","2012","Number","Estimated Population",4275
"Ashford","0901501430","2013","Number","Estimated Population",4260
"Ashford","0901501430","2014","Number","Estimated Population",4236
"Ashford","0901501430","2015","Number","Estimated Population",4226
"Ashford","0901501430","2016","Number","Estimated Population",4210
"Ashford","0901501430","2017","Number","Estimated Population",4231
"Ashford","0901501430","2018","Number","Estimated Population",4261
"Avon","0900302060","2010","Number","Estimated Population",18156
"Avon","0900302060","2011","Number","Estimated Population",18197
"Avon","0900302060","2012","Number","Estimated Population",18284
"Avon","0900302060","2013","Number","Estimated Population",18328
"Avon","0900302060","2014","Number","Estimated Population",18375
"Avon","0900302060","2015","Number","Estimated Population",18344
"Avon","0900302060","2016","Number","Estimated Population",18345
"Avon","0900302060","2017","Number","Estimated Population",18307
"Avon","0900302060","2018","Number","Estimated Population",18302
"Barkhamsted","0900502760","2010","Number","Estimated Population",3798
"Barkhamsted","0900502760","2011","Number","Estimated Population",3783
"Barkhamsted","0900502760","2012","Number","Estimated Population",3757
"Barkhamsted","0900502760","2013","Number","Estimated Population",3739
"Barkhamsted","0900502760","2014","Number","Estimated Population",3710
"Barkhamsted","0900502760","2015","Number","Estimated Population",3693
"Barkhamsted","0900502760","2016","Number","Estimated Population",3668
"Barkhamsted","0900502760","2017","Number","Estimated Population",3640
"Barkhamsted","0900502760","2018","Number","Estimated Population",3624
"Beacon Falls","0900903250","2010","Number","Estimated Population",6058
"Beacon Falls","0900903250","2011","Number","Estimated Population",6063
"Beacon Falls","0900903250","2012","Number","Estimated Population",6068
"Beacon Falls","0900903250","2013","Number","Estimated Population",6058
"Beacon Falls","0900903250","2014","Number","Estimated Population",6072
"Beacon Falls","0900903250","2015","Number","Estimated Population",6095
"Beacon Falls","0900903250","2016","Number","Estimated Population",6107
"Beacon Falls","0900903250","2017","Number","Estimated Population",6146
"Beacon Falls","0900903250","2018","Number","Estimated Population",6182
"Berlin","0900304300","2010","Number","Estimated Population",19900
"Berlin","0900304300","2011","Number","Estimated Population",20170
"Berlin","0900304300","2012","Number","Estimated Population",20484
"Berlin","0900304300","2013","Number","Estimated Population",20566
"Berlin","0900304300","2014","Number","Estimated Population",20608
"Berlin","0900304300","2015","Number","Estimated Population",20559
"Berlin","0900304300","2016","Number","Estimated Population",20533
"Berlin","0900304300","2017","Number","Estimated Population",20457
"Berlin","0900304300","2018","Number","Estimated Population",20432
"Bethany","0900904580","2010","Number","Estimated Population",5572
"Bethany","0900904580","2011","Number","Estimated Population",5562
"Bethany","0900904580","2012","Number","Estimated Population",5560
"Bethany","0900904580","2013","Number","Estimated Population",5550
"Bethany","0900904580","2014","Number","Estimated Population",5543
"Bethany","0900904580","2015","Number","Estimated Population",5516
"Bethany","0900904580","2016","Number","Estimated Population",5492
"Bethany","0900904580","2017","Number","Estimated Population",5483
"Bethany","0900904580","2018","Number","Estimated Population",5479
"Bethel","0900104720","2010","Number","Estimated Population",18626
"Bethel","0900104720","2011","Number","Estimated Population",18911
"Bethel","0900104720","2012","Number","Estimated Population",19140
"Bethel","0900104720","2013","Number","Estimated Population",19237
"Bethel","0900104720","2014","Number","Estimated Population",19308
"Bethel","0900104720","2015","Number","Estimated Population",19450
"Bethel","0900104720","2016","Number","Estimated Population",19617
"Bethel","0900104720","2017","Number","Estimated Population",19639
"Bethel","0900104720","2018","Number","Estimated Population",19714
"Bethlehem","0900504930","2010","Number","Estimated Population",3592
"Bethlehem","0900504930","2011","Number","Estimated Population",3579
"Bethlehem","0900504930","2012","Number","Estimated Population",3551
"Bethlehem","0900504930","2013","Number","Estimated Population",3540
"Bethlehem","0900504930","2014","Number","Estimated Population",3500
"Bethlehem","0900504930","2015","Number","Estimated Population",3478
"Bethlehem","0900504930","2016","Number","Estimated Population",3454
"Bethlehem","0900504930","2017","Number","Estimated Population",3433
"Bethlehem","0900504930","2018","Number","Estimated Population",3422
"Bloomfield","0900305910","2010","Number","Estimated Population",20490
"Bloomfield","0900305910","2011","Number","Estimated Population",20539
"Bloomfield","0900305910","2012","Number","Estimated Population",20628
"Bloomfield","0900305910","2013","Number","Estimated Population",20615
"Bloomfield","0900305910","2014","Number","Estimated Population",20786
"Bloomfield","0900305910","2015","Number","Estimated Population",20713
"Bloomfield","0900305910","2016","Number","Estimated Population",20573
"Bloomfield","0900305910","2017","Number","Estimated Population",21352
"Bloomfield","0900305910","2018","Number","Estimated Population",21301
"Bolton","0901306260","2010","Number","Estimated Population",4978
"Bolton","0901306260","2011","Number","Estimated Population",4979
"Bolton","0901306260","2012","Number","Estimated Population",4962
"Bolton","0901306260","2013","Number","Estimated Population",4948
"Bolton","0901306260","2014","Number","Estimated Population",4953
"Bolton","0901306260","2015","Number","Estimated Population",4951
"Bolton","0901306260","2016","Number","Estimated Population",4924
"Bolton","0901306260","2017","Number","Estimated Population",4909
"Bolton","0901306260","2018","Number","Estimated Population",4890
"Bozrah","0901106820","2010","Number","Estimated Population",2624
"Bozrah","0901106820","2011","Number","Estimated Population",2625
"Bozrah","0901106820","2012","Number","Estimated Population",2630
"Bozrah","0901106820","2013","Number","Estimated Population",2621
"Bozrah","0901106820","2014","Number","Estimated Population",2603
"Bozrah","0901106820","2015","Number","Estimated Population",2582
"Bozrah","0901106820","2016","Number","Estimated Population",2562
"Bozrah","0901106820","2017","Number","Estimated Population",2555
"Bozrah","0901106820","2018","Number","Estimated Population",2537
"Branford","0900907310","2010","Number","Estimated Population",28033
"Branford","0900907310","2011","Number","Estimated Population",28012
"Branford","0900907310","2012","Number","Estimated Population",28038
"Branford","0900907310","2013","Number","Estimated Population",28002
"Branford","0900907310","2014","Number","Estimated Population",28266
"Branford","0900907310","2015","Number","Estimated Population",28160
"Branford","0900907310","2016","Number","Estimated Population",28040
"Branford","0900907310","2017","Number","Estimated Population",28009
"Branford","0900907310","2018","Number","Estimated Population",28005
"Bridgeport","0900108070","2010","Number","Estimated Population",144858
"Bridgeport","0900108070","2011","Number","Estimated Population",146131
"Bridgeport","0900108070","2012","Number","Estimated Population",147097
"Bridgeport","0900108070","2013","Number","Estimated Population",147726
"Bridgeport","0900108070","2014","Number","Estimated Population",147892
"Bridgeport","0900108070","2015","Number","Estimated Population",147460
"Bridgeport","0900108070","2016","Number","Estimated Population",146353
"Bridgeport","0900108070","2017","Number","Estimated Population",145408
"Bridgeport","0900108070","2018","Number","Estimated Population",144900
"Bridgewater","0900508210","2010","Number","Estimated Population",1731
"Bridgewater","0900508210","2011","Number","Estimated Population",1720
"Bridgewater","0900508210","2012","Number","Estimated Population",1708
"Bridgewater","0900508210","2013","Number","Estimated Population",1702
"Bridgewater","0900508210","2014","Number","Estimated Population",1686
"Bridgewater","0900508210","2015","Number","Estimated Population",1673
"Bridgewater","0900508210","2016","Number","Estimated Population",1660
"Bridgewater","0900508210","2017","Number","Estimated Population",1646
"Bridgewater","0900508210","2018","Number","Estimated Population",1641
"Bristol","0900308490","2010","Number","Estimated Population",60478
"Bristol","0900308490","2011","Number","Estimated Population",60569
"Bristol","0900308490","2012","Number","Estimated Population",60635
"Bristol","0900308490","2013","Number","Estimated Population",60542
"Bristol","0900308490","2014","Number","Estimated Population",60576
"Bristol","0900308490","2015","Number","Estimated Population",60513
"Bristol","0900308490","2016","Number","Estimated Population",60289
"Bristol","0900308490","2017","Number","Estimated Population",60110
"Bristol","0900308490","2018","Number","Estimated Population",60032
"Brookfield","0900108980","2010","Number","Estimated Population",16465
"Brookfield","0900108980","2011","Number","Estimated Population",16599
"Brookfield","0900108980","2012","Number","Estimated Population",16763
"Brookfield","0900108980","2013","Number","Estimated Population",16816
"Brookfield","0900108980","2014","Number","Estimated Population",16989
"Brookfield","0900108980","2015","Number","Estimated Population",17052
"Brookfield","0900108980","2016","Number","Estimated Population",17054
"Brookfield","0900108980","2017","Number","Estimated Population",17016
"Brookfield","0900108980","2018","Number","Estimated Population",17002
"Brooklyn","0901509190","2010","Number","Estimated Population",8216
"Brooklyn","0901509190","2011","Number","Estimated Population",8218
"Brooklyn","0901509190","2012","Number","Estimated Population",8236
"Brooklyn","0901509190","2013","Number","Estimated Population",8272
"Brooklyn","0901509190","2014","Number","Estimated Population",8251
"Brooklyn","0901509190","2015","Number","Estimated Population",8243
"Brooklyn","0901509190","2016","Number","Estimated Population",8190
"Brooklyn","0901509190","2017","Number","Estimated Population",8224
"Brooklyn","0901509190","2018","Number","Estimated Population",8280
"Burlington","0900310100","2010","Number","Estimated Population",9315
"Burlington","0900310100","2011","Number","Estimated Population",9385
"Burlington","0900310100","2012","Number","Estimated Population",9428
"Burlington","0900310100","2013","Number","Estimated Population",9467
"Burlington","0900310100","2014","Number","Estimated Population",9560
"Burlington","0900310100","2015","Number","Estimated Population",9605
"Burlington","0900310100","2016","Number","Estimated Population",9609
"Burlington","0900310100","2017","Number","Estimated Population",9620
"Burlington","0900310100","2018","Number","Estimated Population",9665
"Canaan","0900510940","2010","Number","Estimated Population",1113
"Canaan","0900510940","2011","Number","Estimated Population",1108
"Canaan","0900510940","2012","Number","Estimated Population",1101
"Canaan","0900510940","2013","Number","Estimated Population",1094
"Canaan","0900510940","2014","Number","Estimated Population",1084
"Canaan","0900510940","2015","Number","Estimated Population",1077
"Canaan","0900510940","2016","Number","Estimated Population",1067
"Canaan","0900510940","2017","Number","Estimated Population",1060
"Canaan","0900510940","2018","Number","Estimated Population",1055
"Canterbury","0901512130","2010","Number","Estimated Population",5131
"Canterbury","0901512130","2011","Number","Estimated Population",5123
"Canterbury","0901512130","2012","Number","Estimated Population",5104
