SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
061,09,009,00000,62290,00000,1,A,Prospect town,Connecticut,9405,9423,9445,9537,9653,9686,9714,9721,9735,9763,9790
061,09,009,00000,67610,00000,1,A,Seymour town,Connecticut,16540,16533,16540,16548,16581,16566,16570,16482,16567,16527,16509
061,09,009,00000,69640,00000,1,A,Southbury town,Connecticut,19904,19904,19903,19870,19870,19831,19870,19805,19710,19676,19656
061,09,009,00000,78740,00000,1,A,Wallingford town,Connecticut,45135,45143,45165,45166,45228,45185,45137,44913,44671,44581,44535
061,09,009,00000,80070,00000,0,C,Waterbury town,Connecticut,110366,110329,110371,110086,110035,109751,109551,109018,108473,108277,108093
071,09,009,80000,80070,00000,1,A,Waterbury city,Connecticut,110366,110329,110371,110086,110035,109751,109551,109018,108473,108277,108093
061,09,009,00000,82870,00000,0,C,West Haven town,Connecticut,55564,55564,55570,55505,55283,55132,55293,54876,54644,54836,54879
071,09,009,82800,82870,00000,1,A,West Haven city,Connecticut,55564,55564,55570,55505,55283,55132,55293,54876,54644,54836,54879
061,09,009,00000,87560,00000,1,A,Wolcott town,Connecticut,16680,16698,16709,16730,16754,16723,16716,16664,16623,16638,16649
061,09,009,00000,87700,00000,1,A,Woodbridge town,Connecticut,8990,8988,8993,8970,8978,8952,8936,8887,8847,8824,8805
050,09,011,00000,00000,00000,0,N,New London County,Connecticut,274055,274068,273998,273013,274085,272981,271465,269717,268612,267826,266784
157,09,011,34180,00000,00000,0,A,Groton city,Connecticut,10389,9389,9380,9342,9353,9298,9240,9152,9093,9065,9012
157,09,011,34460,00000,00000,0,A,Groton Long Point borough,Connecticut,518,518,518,517,519,516,516,512,509,509,510
157,09,011,39940,00000,00000,0,A,Jewett City borough,Connecticut,3487,3487,3488,3484,3492,3473,3454,3426,3405,3398,3378
157,09,011,52280,00000,00000,0,A,New London city,Connecticut,27620,27620,27613,27619,27566,27352,27206,27024,27024,27014,26939
157,09,011,56200,00000,00000,0,A,Norwich city,Connecticut,40493,40495,40543,40460,40506,40311,40091,39751,39470,39344,39136
157,09,011,73700,00000,00000,0,A,Stonington borough,Connecticut,929,929,928,924,927,920,914,904,898,895,892
157,09,011,99990,00000,00000,0,F,Balance of New London County,Connecticut,190619,191630,191528,190667,191722,191111,190044,188948,188213,187601,186917
061,09,011,00000,06820,00000,1,A,Bozrah town,Connecticut,2627,2627,2624,2625,2630,2621,2603,2582,2562,2555,2537
061,09,011,00000,15910,00000,1,A,Colchester town,Connecticut,16068,16010,16007,16032,16082,16030,15995,15908,15857,15953,15936
061,09,011,00000,23400,00000,1,A,East Lyme town,Connecticut,19159,19159,19131,18495,18856,18836,18658,19150,18754,18699,18645
061,09,011,00000,29910,00000,1,A,Franklin town,Connecticut,1922,1922,1920,1983,1987,1977,1968,1953,1941,1938,1933
061,09,011,00000,33900,00000,0,A,Griswold town,Connecticut,11951,11951,11953,11941,11971,11907,11843,11744,11673,11652,11591
071,09,011,39940,33900,00000,1,A,Jewett City borough,Connecticut,3487,3487,3488,3484,3492,3473,3454,3426,3405,3398,3378
071,09,011,99990,33900,00000,1,F,Balance of Griswold town,Connecticut,8464,8464,8465,8457,8479,8434,8389,8318,8268,8254,8213
061,09,011,00000,34250,00000,0,A,Groton town,Connecticut,40115,40115,40081,39803,40207,40065,39699,39258,39072,38854,38692
